number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_epochs,params_filters,params_kernel_size,params_learning_rate,params_lstm_units1,params_lstm_units2,params_pool_size,user_attrs_mae,user_attrs_mse,user_attrs_r2,state,mse,mae,r2
1,0.00015815904771443456,2025-01-25 00:36:58.949056,2025-01-25 00:44:50.500650,0 days 00:07:51.551594,32,0.4648191844260138,190,94,2,0.0002530369736059783,99,28,1,0.014143207960746234,0.00030892215299915094,0.7112332739864113,COMPLETE,0.00030892215299915094,0.014143207960746234,0.7112332739864113
2,0.00014125191955827177,2025-01-25 00:44:50.562781,2025-01-25 00:47:34.741475,0 days 00:02:44.178694,32,0.15737696642513474,170,114,2,0.0010122211056703843,27,13,2,0.009538214534957633,0.00015516591839013924,0.8549577820580082,COMPLETE,0.00015516591839013924,0.009538214534957633,0.8549577820580082
3,0.00010463674698257819,2025-01-25 00:47:34.782077,2025-01-25 00:51:15.402734,0 days 00:03:40.620657,128,0.1340625122807826,160,92,2,0.002693096194244556,89,52,1,0.007349954858015779,0.00010463674779768175,0.9021902094462964,COMPLETE,0.00010463674779768175,0.007349954858015779,0.9021902094462964
4,9.017626871354878e-05,2025-01-25 00:51:15.443546,2025-01-25 00:57:48.278949,0 days 00:06:32.835403,32,0.25417913095235634,160,118,4,0.0015332950585946728,46,41,1,0.00709318018476335,9.346032492795229e-05,0.9126374338013722,COMPLETE,9.346032492795229e-05,0.00709318018476335,0.9126374338013722
5,0.00012261461233720183,2025-01-25 00:57:48.361819,2025-01-25 01:06:57.516458,0 days 00:09:09.154639,16,0.31012766218416,180,126,3,0.00010182940722481054,107,60,1,0.010132542697040286,0.0001569931609986052,0.8532497567171363,COMPLETE,0.0001569931609986052,0.010132542697040286,0.8532497567171363
6,0.0003931784594897181,2025-01-25 01:06:57.544923,2025-01-25 01:09:55.890200,0 days 00:02:58.345277,16,0.4104617593902524,180,21,2,0.0004504421650600536,27,33,3,0.01457502233893233,0.0003974316220588169,0.6284985482523492,COMPLETE,0.0003974316220588169,0.01457502233893233,0.6284985482523492
7,0.00022630160674452782,2025-01-25 01:09:55.961097,2025-01-25 01:11:49.868501,0 days 00:01:53.907404,64,0.3669150283680691,150,104,4,0.000533141089609185,68,12,2,0.011435781785163903,0.00023606237855129347,0.7793393593581981,COMPLETE,0.00023606237855129347,0.011435781785163903,0.7793393593581981
8,7.691818609600887e-05,2025-01-25 01:11:49.908802,2025-01-25 01:18:24.972720,0 days 00:06:35.063918,32,0.15487085700864012,180,115,2,0.009847783997684734,108,41,1,0.0062220873935980294,7.691818850320705e-05,0.9281002891850615,COMPLETE,7.691818850320705e-05,0.0062220873935980294,0.9281002891850615
9,0.0002679999452084303,2025-01-25 01:18:25.021126,2025-01-25 01:19:14.875536,0 days 00:00:49.854410,64,0.4020017485119024,100,49,4,0.009765255090979452,30,50,3,0.013495388331950183,0.00028940945433456234,0.7294728791890802,COMPLETE,0.00028940945433456234,0.013495388331950183,0.7294728791890802
10,0.0003333762288093567,2025-01-25 01:19:14.904612,2025-01-25 01:20:11.436271,0 days 00:00:56.531659,128,0.3937604048078701,150,30,3,0.0009603694442584117,60,21,3,0.013600789436563463,0.00037542957319090483,0.6490650876069918,COMPLETE,0.00037542957319090483,0.013600789436563463,0.6490650876069918
11,0.00010423685307614505,2025-01-25 01:20:11.468171,2025-01-25 01:22:17.956870,0 days 00:02:06.488699,32,0.21545047983843063,120,71,5,0.009708985287671315,123,42,2,0.010629004360494302,0.00017822021200521385,0.833407650987287,COMPLETE,0.00017822021200521385,0.010629004360494302,0.833407650987287
12,7.70628685131669e-05,2025-01-25 01:22:17.984207,2025-01-25 01:26:24.334185,0 days 00:04:06.349978,32,0.22924271483824557,200,127,5,0.003111056301415541,51,41,1,0.017817394777533312,0.0003770339769609656,0.6475653621279789,COMPLETE,0.0003770339769609656,0.017817394777533312,0.6475653621279789
13,7.218380051199347e-05,2025-01-25 01:26:24.357418,2025-01-25 01:31:28.405416,0 days 00:05:04.047998,32,0.10161625134538319,200,79,5,0.0038883799739464694,85,46,1,0.016260228825169174,0.00031250312440100767,0.7078859407582072,COMPLETE,0.00031250312440100767,0.016260228825169174,0.7078859407582072
14,7.30562605895102e-05,2025-01-25 01:31:28.445808,2025-01-25 01:36:26.698138,0 days 00:04:58.252330,32,0.10509487448688236,200,74,3,0.005065333928218085,84,53,1,0.006868720895254906,9.200983239875703e-05,0.9139932898793403,COMPLETE,9.200983239875703e-05,0.006868720895254906,0.9139932898793403
15,8.01717906142585e-05,2025-01-25 01:36:26.714481,2025-01-25 01:38:04.985171,0 days 00:01:38.270690,32,0.10142622312506526,200,70,3,0.003958744315301682,84,60,2,0.007473159682198473,0.00010793770468061365,0.8991046213700056,COMPLETE,0.00010793770468061365,0.007473159682198473,0.8991046213700056
