number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_epochs,params_filters1,params_filters2,params_kernel_size1,params_kernel_size2,params_learning_rate,params_pool_size,user_attrs_mae,user_attrs_mse,user_attrs_r2,state,mse,mae,r2
0,0.001226015854626894,2025-01-26 14:23:20.518470,2025-01-26 14:23:39.722850,0 days 00:00:19.204380,128,0.44416300692192867,160,93,17,4,3,0.0001553547527152933,1,0.025480393306467373,0.0012260159387106147,0.18881674252205094,COMPLETE,0.0012260159387106147,0.025480393306467373,0.18881674252205094
1,0.0006183392251841724,2025-01-26 14:23:20.540955,2025-01-26 14:23:41.541093,0 days 00:00:21.000138,64,0.14538260108753712,150,125,51,2,4,0.0002289814766080977,3,0.02076908987009738,0.0006183392251007199,0.5908809902005803,COMPLETE,0.0006183392251007199,0.02076908987009738,0.5908809902005803
2,0.0005199204315431416,2025-01-26 14:23:20.557277,2025-01-26 14:23:48.893209,0 days 00:00:28.335932,16,0.3452320924309361,150,43,100,4,5,0.0007002374737368135,3,0.01934455512075308,0.0005199204324985194,0.6559989664514125,COMPLETE,0.0005199204324985194,0.01934455512075308,0.6559989664514125
3,0.00047351818648166955,2025-01-26 14:23:20.571221,2025-01-26 14:23:49.353083,0 days 00:00:28.781862,32,0.10533831370457257,190,20,98,5,4,0.00010803398324365921,3,0.018396481230407647,0.0004735182202517277,0.6867006045754014,COMPLETE,0.0004735182202517277,0.018396481230407647,0.6867006045754014
4,0.00039658960304223,2025-01-26 14:23:20.522183,2025-01-26 14:23:41.817574,0 days 00:00:21.295391,64,0.1998614340093158,200,112,81,3,3,0.002838231929605982,3,0.01633064825455682,0.0003965896254898571,0.7375997700118344,COMPLETE,0.0003965896254898571,0.01633064825455682,0.7375997700118344
5,0.00094951456412673,2025-01-26 14:23:20.595326,2025-01-26 14:23:41.445822,0 days 00:00:20.850496,128,0.2945246217197547,100,74,55,5,4,0.004768051599543253,2,0.027351174736156884,0.0009495145246205618,0.3717616053879569,COMPLETE,0.0009495145246205618,0.027351174736156884,0.3717616053879569
6,0.0009086568607017398,2025-01-26 14:23:20.609528,2025-01-26 14:23:44.038669,0 days 00:00:23.429141,128,0.10677798545648112,140,36,27,3,4,0.0036222369858805513,1,0.026063742218152927,0.0009086567931144301,0.3987947839053255,COMPLETE,0.0009086567931144301,0.026063742218152927,0.3987947839053255
7,0.0017198901623487473,2025-01-26 14:23:20.624335,2025-01-26 14:23:44.469028,0 days 00:00:23.844693,32,0.42809598374998736,120,40,63,5,3,0.00014488899041090991,2,0.031932705170076126,0.001719890137209326,-0.1379510167485385,COMPLETE,0.001719890137209326,0.031932705170076126,-0.1379510167485385
8,0.0004787425568792969,2025-01-26 14:23:20.646094,2025-01-26 14:23:49.581899,0 days 00:00:28.935805,32,0.49617232206806505,110,108,106,3,4,0.002130994585546944,2,0.018823939973625536,0.0004787426011053932,0.6832439363989347,COMPLETE,0.0004787426011053932,0.018823939973625536,0.6832439363989347
9,0.0007601100369356573,2025-01-26 14:23:20.670068,2025-01-26 14:23:49.712781,0 days 00:00:29.042713,16,0.19482867300458434,130,53,61,4,2,0.0035235003413945252,3,0.02374893558926977,0.0007601099727604362,0.49707955314696484,COMPLETE,0.0007601099727604362,0.02374893558926977,0.49707955314696484
10,0.00036809087032452226,2025-01-26 14:23:20.684398,2025-01-26 14:23:45.217457,0 days 00:00:24.533059,128,0.37792907979774426,190,20,121,3,4,0.004366830702923896,1,0.014518379270197931,0.00036809083143960055,0.7564557602660825,COMPLETE,0.00036809083143960055,0.014518379270197931,0.7564557602660825
11,0.0006068320944905281,2025-01-26 14:23:20.699107,2025-01-26 14:23:43.544815,0 days 00:00:22.845708,64,0.4337538863836905,130,126,26,3,2,0.004587425490626063,3,0.017670364589707593,0.000606832116723967,0.5984945728323224,COMPLETE,0.000606832116723967,0.017670364589707593,0.5984945728323224
12,0.00013647762534674257,2025-01-26 14:23:40.358790,2025-01-26 14:23:58.390946,0 days 00:00:18.032156,16,0.217209550059413,190,121,35,3,3,0.002371084932857214,3,0.009089592259552828,0.00013647762339301397,0.9097007146308193,COMPLETE,0.00013647762339301397,0.009089592259552828,0.9097007146308193
13,0.0006794236833229661,2025-01-26 14:23:42.868684,2025-01-26 14:23:55.434375,0 days 00:00:12.565691,16,0.19304997684957212,200,24,81,4,3,0.00016117388601787384,2,0.02225786676887747,0.0006794236463652428,0.550464990491292,COMPLETE,0.0006794236463652428,0.02225786676887747,0.550464990491292
14,0.0011392098385840654,2025-01-26 14:23:43.228072,2025-01-26 14:23:53.297343,0 days 00:00:10.069271,32,0.2510635775714909,200,106,55,3,5,0.00014624954827054107,1,0.027488123172293384,0.001139209833218425,0.24625128084965553,COMPLETE,0.001139209833218425,0.027488123172293384,0.24625128084965553
