number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_epochs,params_filters,params_kernel_size,params_learning_rate,params_lstm_units1,params_lstm_units2,params_pool_size,user_attrs_mae,user_attrs_mse,user_attrs_r2,state,mse,mae,r2
1,0.0003113477723672986,2025-01-25 00:36:58.970777,2025-01-25 00:40:50.133978,0 days 00:03:51.163201,64,0.3444348945394359,140,75,2,0.007107272023702126,58,53,2,0.018965114157068565,0.0006247496946384752,0.4160116969687262,COMPLETE,0.0006247496946384752,0.018965114157068565,0.4160116969687262
2,0.00022260895639192313,2025-01-25 00:40:50.200406,2025-01-25 00:45:38.435540,0 days 00:04:48.235134,128,0.45928304911387274,180,84,4,0.004761134435378703,128,61,3,0.022171665010624585,0.0007832352650215007,0.26786641559090196,COMPLETE,0.0007832352650215007,0.022171665010624585,0.26786641559090196
3,0.00031621442758478224,2025-01-25 00:45:38.474465,2025-01-25 00:52:32.420331,0 days 00:06:53.945866,32,0.4063380018829631,190,65,5,0.009084258686485498,55,60,3,0.03574274286948455,0.0015307345417279246,-0.43086275205358504,COMPLETE,0.0015307345417279246,0.03574274286948455,-0.43086275205358504
4,0.0006731299799866974,2025-01-25 00:52:32.463447,2025-01-25 00:58:03.415795,0 days 00:05:30.952348,64,0.42606612299376234,130,115,2,0.00010077737465896134,113,61,2,0.0291872582903625,0.0011179949012787302,-0.045052043719996604,COMPLETE,0.0011179949012787302,0.0291872582903625,-0.045052043719996604
5,0.00027237171889282763,2025-01-25 00:58:03.511426,2025-01-25 01:01:31.706361,0 days 00:03:28.194935,64,0.2770143628472732,120,17,2,0.006616259137887093,79,25,2,0.020986616405441735,0.0008192264778636256,0.23422342625919423,COMPLETE,0.0008192264778636256,0.020986616405441735,0.23422342625919423
6,0.00017689456581138074,2025-01-25 01:01:31.753325,2025-01-25 01:05:06.832393,0 days 00:03:35.079068,64,0.37168758068175933,160,79,5,0.0009653427755407476,54,55,1,0.011490250996081974,0.00023118915546938013,0.783894632137557,COMPLETE,0.00023118915546938013,0.011490250996081974,0.783894632137557
7,0.0002338346530450508,2025-01-25 01:05:06.864831,2025-01-25 01:07:54.406083,0 days 00:02:47.541252,64,0.38596744877190314,150,92,5,0.00021920955141611995,48,55,1,0.014011717998378805,0.00030751667536179614,0.7125470521401762,COMPLETE,0.00030751667536179614,0.014011717998378805,0.7125470521401762
8,0.00020015456539113075,2025-01-25 01:07:54.442280,2025-01-25 01:09:44.805006,0 days 00:01:50.362726,128,0.14113598290838528,120,111,4,0.0010466867427188346,52,57,2,0.01089136270818693,0.00020791626455472255,0.8056490982677846,COMPLETE,0.00020791626455472255,0.01089136270818693,0.8056490982677846
9,0.000491744780447334,2025-01-25 01:09:44.847787,2025-01-25 01:11:14.467263,0 days 00:01:29.619476,128,0.40399595887896245,130,83,4,0.00034233495458222795,45,12,2,0.022847466393729962,0.0007494357149666856,0.2994607357628457,COMPLETE,0.0007494357149666856,0.022847466393729962,0.2994607357628457
10,0.00020834748283959925,2025-01-25 01:11:14.504508,2025-01-25 01:15:01.485150,0 days 00:03:46.980642,64,0.3142415602755544,180,71,4,0.0005272122589826345,47,30,1,0.01878823454925342,0.0004949004054228546,0.5373890529076166,COMPLETE,0.0004949004054228546,0.01878823454925342,0.5373890529076166
11,0.00018979408196173608,2025-01-25 01:15:01.514552,2025-01-25 01:18:54.902326,0 days 00:03:53.387774,16,0.22539960683057447,100,40,3,0.0015447035365484271,20,45,1,0.026927142641665396,0.001029635587885526,0.03754232315739081,COMPLETE,0.001029635587885526,0.026927142641665396,0.03754232315739081
12,0.00023817877809051424,2025-01-25 01:18:54.944524,2025-01-25 01:22:00.532769,0 days 00:03:05.588245,16,0.22346942172595521,100,43,3,0.0017639290354983606,16,44,1,0.013986414399065986,0.00036024654218719124,0.6632575115278403,COMPLETE,0.00036024654218719124,0.013986414399065986,0.6632575115278403
13,0.0001777399447746575,2025-01-25 01:22:00.581658,2025-01-25 01:26:25.180650,0 days 00:04:24.598992,16,0.207458681020722,160,45,3,0.0023947358544231,16,43,1,0.01336555965077961,0.00030165024118568355,0.7180307345953315,COMPLETE,0.00030165024118568355,0.01336555965077961,0.7180307345953315
14,0.00012495467672124505,2025-01-25 01:26:25.207877,2025-01-25 01:31:51.699768,0 days 00:05:26.491891,16,0.1605190869459759,160,51,3,0.002778503399334896,86,41,1,0.03814532498245956,0.0017050387152965257,-0.593794562036301,COMPLETE,0.0017050387152965257,0.03814532498245956,-0.593794562036301
15,0.0002442865225020796,2025-01-25 01:31:51.752356,2025-01-25 01:36:08.403199,0 days 00:04:16.650843,32,0.49935173126704613,160,55,5,0.0026970076311594736,88,35,1,0.014511460024556227,0.0003892327995514541,0.6361624438636949,COMPLETE,0.0003892327995514541,0.014511460024556227,0.6361624438636949
