number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_epochs,params_filters1,params_filters2,params_kernel_size1,params_kernel_size2,params_learning_rate,params_pool_size,user_attrs_mae,user_attrs_mse,user_attrs_r2,state,mse,mae,r2
1,0.0007607314037159085,2025-01-24 21:21:06.070812,2025-01-24 21:21:47.839664,0 days 00:00:41.768852,64,0.2747873916320154,140,123,47,4,3,0.0002111123132995382,1,0.021612676127090096,0.0008827235787823871,0.9470709418808373,COMPLETE,0.0008827235787823871,0.021612676127090096,0.9470709418808373
2,0.001080147223547101,2025-01-24 21:21:47.893623,2025-01-24 21:22:17.683827,0 days 00:00:29.790204,128,0.13514722507978455,110,105,26,4,5,0.00016107051001765384,1,0.02565160036467649,0.001209546221419247,0.9274743036323769,COMPLETE,0.001209546221419247,0.02565160036467649,0.9274743036323769
3,0.0007896884344518185,2025-01-24 21:22:17.723597,2025-01-24 21:22:50.651404,0 days 00:00:32.927807,128,0.2070770897550348,130,100,17,2,2,0.008561962410672539,1,0.028328989600010682,0.0012856081039106467,0.922913551098052,COMPLETE,0.0012856081039106467,0.028328989600010682,0.922913551098052
4,0.01141994260251522,2025-01-24 21:22:50.684047,2025-01-24 21:23:22.510587,0 days 00:00:31.826540,128,0.40153010803072176,150,74,90,5,2,0.0010039491211570476,3,0.13817747577652353,0.021268739184505385,-0.2752965474999729,COMPLETE,0.021268739184505385,0.13817747577652353,-0.2752965474999729
5,0.005320684518665075,2025-01-24 21:23:22.541064,2025-01-24 21:23:55.480753,0 days 00:00:32.939689,128,0.37721402967488304,150,114,118,3,4,0.0006222823767207797,2,0.1012670618166436,0.011459453804947601,0.31287878670627634,COMPLETE,0.011459453804947601,0.1012670618166436,0.31287878670627634
6,0.0024084611795842648,2025-01-24 21:23:55.510436,2025-01-24 21:24:21.243835,0 days 00:00:25.733399,64,0.41250334042338244,110,115,110,5,4,0.0012328614137858739,3,0.07939607308653185,0.007428366062880503,0.5545871567009025,COMPLETE,0.007428366062880503,0.07939607308653185,0.5545871567009025
7,0.03775309771299362,2025-01-24 21:24:21.276474,2025-01-24 21:24:52.213506,0 days 00:00:30.937032,128,0.47454455611779645,180,35,102,5,5,0.0017379273609300203,2,0.25402869372635545,0.06932582203197676,-3.1568510819102205,COMPLETE,0.06932582203197676,0.25402869372635545,-3.1568510819102205
8,0.0006891149096190929,2025-01-24 21:24:52.245471,2025-01-24 21:25:39.010221,0 days 00:00:46.764750,64,0.1444475756617313,200,70,118,3,3,0.005117982601696609,2,0.056561956549326574,0.004195516581434047,0.7484322994011947,COMPLETE,0.004195516581434047,0.056561956549326574,0.7484322994011947
9,0.006147208157926798,2025-01-24 21:25:39.039312,2025-01-24 21:26:05.125184,0 days 00:00:26.085872,128,0.338544459738399,120,81,83,2,3,0.0018500595381359323,2,0.1149757356941242,0.014900669698646372,0.10653976912909813,COMPLETE,0.014900669698646372,0.1149757356941242,0.10653976912909813
10,0.0008710207184776664,2025-01-24 21:26:05.152797,2025-01-24 21:26:36.918809,0 days 00:00:31.766012,128,0.19187132669509355,150,84,78,4,4,0.007164446311538269,3,0.07194752786198147,0.006255579010294101,0.6249087336473025,COMPLETE,0.006255579010294101,0.07194752786198147,0.6249087336473025
11,0.000742918171454221,2025-01-24 21:26:36.956109,2025-01-24 21:27:41.821212,0 days 00:01:04.865103,32,0.10269290038488649,200,37,56,3,3,0.0036495835988920367,2,0.04435112606952674,0.0025966675295543327,0.8443010134865718,COMPLETE,0.0025966675295543327,0.04435112606952674,0.8443010134865718
12,0.0007130008307285607,2025-01-24 21:27:41.864882,2025-01-24 21:28:31.419761,0 days 00:00:49.554879,32,0.10942574893742898,200,41,51,3,3,0.003912457518815795,2,0.04569771379754403,0.0028753031088478175,0.827593723543287,COMPLETE,0.0028753031088478175,0.04569771379754403,0.827593723543287
13,0.0008224002085626125,2025-01-24 21:28:31.455624,2025-01-24 21:29:18.499441,0 days 00:00:47.043817,32,0.17231715629702096,180,54,59,3,3,0.003910379029438428,2,0.05510496063273346,0.003913679931036288,0.7653315290214002,COMPLETE,0.003913679931036288,0.05510496063273346,0.7653315290214002
14,0.006612955592572689,2025-01-24 21:29:18.527167,2025-01-24 21:30:23.464581,0 days 00:01:04.937414,16,0.2699301372669982,200,21,41,3,2,0.003931844508316319,2,0.12358128781851262,0.017104992967218135,-0.025633832211192198,COMPLETE,0.017104992967218135,0.12358128781851262,-0.025633832211192198
15,0.0006996865849941969,2025-01-24 21:30:23.488057,2025-01-24 21:31:09.970561,0 days 00:00:46.482504,32,0.10618378936858917,180,57,67,2,3,0.0005964787639978186,1,0.035323252974891826,0.0018632329980725444,0.8882785392675735,COMPLETE,0.0018632329980725444,0.035323252974891826,0.8882785392675735
16,0.001749503775499761,2025-01-24 22:00:40.557723,2025-01-24 22:01:00.097952,0 days 00:00:19.540229,64,0.22658886895071945,180,56,68,2,4,0.0005113784467058081,1,0.078171744723701,0.007155977791919753,0.5709198512965841,COMPLETE,0.007155977791919753,0.078171744723701,0.5709198512965841
17,0.0007462316425517201,2025-01-24 22:01:00.115313,2025-01-24 22:01:27.815635,0 days 00:00:27.700322,16,0.14525580996466372,170,62,99,2,2,0.0003150818460807892,1,0.054001385601770834,0.003745147477700699,0.775436916746365,COMPLETE,0.003745147477700699,0.054001385601770834,0.775436916746365
18,0.0008086868328973651,2025-01-24 22:01:27.830237,2025-01-24 22:01:54.556610,0 days 00:00:26.726373,32,0.23658912562393009,170,91,127,2,3,0.0005395444990891217,1,0.02763038890976519,0.0012738506947346203,0.9236185380368478,COMPLETE,0.0012738506947346203,0.02763038890976519,0.9236185380368478
19,0.00213008769787848,2025-01-24 22:01:54.571091,2025-01-24 22:02:11.201224,0 days 00:00:16.630133,64,0.15535181263516706,190,67,69,2,4,0.00011514403063967212,3,0.043821325404696826,0.0025828987630678426,0.8451266035796765,COMPLETE,0.0025828987630678426,0.043821325404696826,0.8451266035796765
20,0.003028648206964135,2025-01-24 22:02:11.225412,2025-01-24 22:02:28.024567,0 days 00:00:16.799155,64,0.31756553929491455,160,47,91,3,2,0.002166585485599707,1,0.12055372562852741,0.016448151807906652,0.01375107234093409,COMPLETE,0.016448151807906652,0.12055372562852741,0.01375107234093409
21,0.0019703020807355642,2025-01-24 22:02:28.039310,2025-01-24 22:02:46.312481,0 days 00:00:18.273171,32,0.1021143846284205,190,17,39,4,3,0.0003160735218782783,3,0.04665026684756168,0.00285987919415471,0.8285185581085339,COMPLETE,0.00285987919415471,0.04665026684756168,0.8285185581085339
22,0.0007463768706656992,2025-01-24 22:02:46.327023,2025-01-24 22:03:07.276310,0 days 00:00:20.949287,32,0.10008934891883817,200,41,58,3,3,0.005741140936029273,2,0.04462129348060773,0.002663545761270119,0.8402909225606283,COMPLETE,0.002663545761270119,0.04462129348060773,0.8402909225606283
23,0.0007099470822140574,2025-01-24 22:03:07.290914,2025-01-24 22:03:27.623096,0 days 00:00:20.332182,32,0.1302878423204554,190,71,32,3,3,0.0026516977005395528,2,0.06528006381026388,0.005245061354007593,0.6855004625255612,COMPLETE,0.005245061354007593,0.06528006381026388,0.6855004625255612
24,0.0007411126280203462,2025-01-24 22:03:27.637377,2025-01-24 22:03:48.028725,0 days 00:00:20.391348,32,0.16709167198825547,190,73,27,3,3,0.0024634885138680525,2,0.061023538609540025,0.004681085698791965,0.7193170512632001,COMPLETE,0.004681085698791965,0.061023538609540025,0.7193170512632001
25,0.0007826013606972992,2025-01-24 22:03:48.043121,2025-01-24 22:04:09.146334,0 days 00:00:21.103213,32,0.13275574912378854,170,61,127,2,4,0.0008020299241006843,2,0.022177873260508293,0.0009074415421541867,0.9455888261298363,COMPLETE,0.0009074415421541867,0.022177873260508293,0.9455888261298363
26,0.0006913857068866491,2025-01-24 22:04:09.160808,2025-01-24 22:04:38.183121,0 days 00:00:29.022313,16,0.19551632060279958,190,82,31,4,3,0.0012628462103514942,1,0.029909904782537383,0.0014143267190130301,0.9151954440671173,COMPLETE,0.0014143267190130301,0.029909904782537383,0.9151954440671173
27,0.0006729561137035489,2025-01-24 22:04:38.197651,2025-01-24 22:05:07.492390,0 days 00:00:29.294739,16,0.19688578219895259,180,89,77,4,2,0.001291207419127825,1,0.08674592125742359,0.008826487244106623,0.47075430229723325,COMPLETE,0.008826487244106623,0.08674592125742359,0.47075430229723325
28,0.0006978972814977169,2025-01-24 22:05:07.510514,2025-01-24 22:05:31.428388,0 days 00:00:23.917874,16,0.24832507709240487,160,97,16,4,2,0.000980841892934815,1,0.029131250547078307,0.0012998272975808388,0.9220609529050646,COMPLETE,0.0012998272975808388,0.029131250547078307,0.9220609529050646
29,0.0007014637812972069,2025-01-24 22:05:31.442702,2025-01-24 22:06:03.740052,0 days 00:00:32.297350,16,0.19716038521363516,190,85,113,4,2,0.001487890707245231,1,0.0868910992481731,0.009097481794768145,0.4545051766743228,COMPLETE,0.009097481794768145,0.0868910992481731,0.4545051766743228
30,0.0007300237193703651,2025-01-24 22:06:03.754309,2025-01-24 22:06:28.468264,0 days 00:00:24.713955,16,0.2721020280515118,140,124,82,4,2,0.0002981316843460388,1,0.035470541536788115,0.0018629837236606333,0.8882934860302439,COMPLETE,0.0018629837236606333,0.035470541536788115,0.8882934860302439
