number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_epochs,params_filters,params_kernel_size,params_learning_rate,params_lstm_units1,params_lstm_units2,params_pool_size,user_attrs_mae,user_attrs_mse,user_attrs_r2,state,mse,mae,r2
1,0.0012740087695419788,2025-01-24 21:21:06.111867,2025-01-24 21:23:19.572249,0 days 00:02:13.460382,128,0.49015262268311244,140,64,5,0.00406283531497007,98,35,3,0.0841476741558348,0.008232226616827652,0.5063868106330425,COMPLETE,0.008232226616827652,0.0841476741558348,0.5063868106330425
2,0.0010295645333826542,2025-01-24 21:23:19.617335,2025-01-24 21:26:03.090008,0 days 00:02:43.472673,32,0.4443053144425344,120,127,3,0.009141602860034312,44,60,2,0.03484630751360833,0.002049508642902556,0.8771092506381793,COMPLETE,0.002049508642902556,0.03484630751360833,0.8771092506381793
3,0.00843059178441763,2025-01-24 21:26:03.129308,2025-01-24 21:27:51.331595,0 days 00:01:48.202287,128,0.34799623449363204,150,85,2,0.0013608760258217315,51,62,3,0.137308398295654,0.02060131816348757,-0.2352772630257427,COMPLETE,0.02060131816348757,0.137308398295654,-0.2352772630257427
4,0.0064411768689751625,2025-01-24 21:27:51.364169,2025-01-24 21:32:42.109365,0 days 00:04:50.745196,16,0.2305198123409995,190,106,4,0.00024258425731197642,69,10,3,0.12121560411868107,0.01614413517107452,0.031980237876850226,COMPLETE,0.01614413517107452,0.12121560411868107,0.031980237876850226
5,0.001037216861732304,2025-01-24 21:32:42.139157,2025-01-24 21:34:43.677126,0 days 00:02:01.537969,32,0.22595334858602467,100,106,3,0.0004029170010861441,59,53,1,0.024121257188868945,0.001116268306937979,0.9330673480185069,COMPLETE,0.001116268306937979,0.024121257188868945,0.9330673480185069
6,0.0007327310158871114,2025-01-24 21:34:43.708370,2025-01-24 21:38:05.168198,0 days 00:03:21.459828,16,0.42085041969941206,120,36,4,0.004840238155694763,117,61,1,0.0196155797827944,0.0007799216038325332,0.9532350592077937,COMPLETE,0.0007799216038325332,0.0196155797827944,0.9532350592077937
7,0.000726450583897531,2025-01-24 21:38:05.191042,2025-01-24 21:42:19.817881,0 days 00:04:14.626839,16,0.1473128720980169,160,102,4,0.0008798671872608524,121,59,3,0.020387064594907325,0.0008144190893646301,0.9511665527573238,COMPLETE,0.0008144190893646301,0.020387064594907325,0.9511665527573238
8,0.0007827614899724722,2025-01-24 21:42:19.836975,2025-01-24 21:46:09.292435,0 days 00:03:49.455460,16,0.12277817855644435,200,107,5,0.0005568460228373333,18,9,1,0.023054854071079784,0.000969022920277235,0.9418963402598781,COMPLETE,0.000969022920277235,0.023054854071079784,0.9418963402598781
9,0.0007081907242536545,2025-01-24 21:46:09.315147,2025-01-24 21:48:47.783335,0 days 00:02:38.468188,32,0.22983952177355704,170,122,4,0.0036429569445486777,67,19,3,0.025241728678130487,0.001139338724150065,0.9316840209127144,COMPLETE,0.001139338724150065,0.025241728678130487,0.9316840209127144
10,0.0009131940314546227,2025-01-24 21:48:47.801423,2025-01-24 21:50:41.081935,0 days 00:01:53.280512,64,0.38311953913730845,150,53,2,0.0036845964627605396,111,60,2,0.05595196073135578,0.004006990684099726,0.7597365155984552,COMPLETE,0.004006990684099726,0.05595196073135578,0.7597365155984552
11,0.0034602696541696787,2025-01-24 21:50:41.097665,2025-01-24 21:53:12.185405,0 days 00:02:31.087740,32,0.2752777995983466,180,17,5,0.00012555155183801995,87,24,2,0.08286770375420714,0.00897410331372129,0.4619030835060298,COMPLETE,0.00897410331372129,0.08286770375420714,0.4619030835060298
12,0.0007263993029482663,2025-01-24 21:53:12.204452,2025-01-24 21:55:01.099965,0 days 00:01:48.895513,64,0.1159092906208404,170,128,4,0.0014008170556493377,83,44,3,0.033217512504878956,0.0016995453832578673,0.8980934252479207,COMPLETE,0.0016995453832578673,0.033217512504878956,0.8980934252479207
13,0.0007951389998197556,2025-01-24 21:55:01.117868,2025-01-24 21:56:44.097233,0 days 00:01:42.979365,64,0.2020552685492145,170,128,4,0.0018609227150322505,78,43,3,0.02389027987479394,0.0010196863313523294,0.9388585074730756,COMPLETE,0.0010196863313523294,0.02389027987479394,0.9388585074730756
14,0.0007626342703588307,2025-01-24 21:56:44.114888,2025-01-24 21:57:58.436378,0 days 00:01:14.321490,64,0.17473196915743874,170,84,3,0.0026054239810168983,32,25,2,0.0410592137741727,0.0023240302848901474,0.8606486368141193,COMPLETE,0.0023240302848901474,0.0410592137741727,0.8606486368141193
15,0.0007675015949644148,2025-01-24 21:57:58.454361,2025-01-24 22:00:40.223225,0 days 00:02:41.768864,32,0.10805597316045747,190,120,4,0.009686383006242702,93,44,3,0.030129947136935904,0.001367677155038091,0.9179926022514143,COMPLETE,0.001367677155038091,0.030129947136935904,0.9179926022514143
16,0.001865154830738902,2025-01-24 22:48:47.540672,2025-01-24 22:50:02.336939,0 days 00:01:14.796267,64,0.27221552287479134,170,88,3,0.0009044140373797022,70,21,2,0.07630391985725309,0.007009860776825945,0.5796811851614465,COMPLETE,0.007009860776825945,0.07630391985725309,0.5796811851614465
17,0.0007378397858701646,2025-01-24 22:50:02.353220,2025-01-24 22:51:39.724747,0 days 00:01:37.371527,32,0.3138301038899534,130,117,5,0.0018996042123420936,106,33,3,0.027621144597579052,0.0012438184615277497,0.925419303140514,COMPLETE,0.0012438184615277497,0.027621144597579052,0.925419303140514
18,0.0007052079308778048,2025-01-24 22:51:39.739908,2025-01-24 22:53:00.415026,0 days 00:01:20.675118,64,0.17431080787280182,160,95,4,0.0057011644942074466,81,46,3,0.019162783011617807,0.0007607746131406921,0.9543831334266035,COMPLETE,0.0007607746131406921,0.019162783011617807,0.9543831334266035
19,0.0017935475334525108,2025-01-24 22:53:00.429701,2025-01-24 22:53:40.657784,0 days 00:00:40.228083,128,0.1801928027690296,140,69,3,0.006226650292177927,59,15,3,0.053773591415644556,0.003930378428364812,0.764330269106237,COMPLETE,0.003930378428364812,0.053773591415644556,0.764330269106237
20,0.0007899568881839514,2025-01-24 22:53:40.672407,2025-01-24 22:54:48.576139,0 days 00:01:07.903732,64,0.2531436366449976,160,90,5,0.0026625942385356902,44,50,2,0.021592854431371065,0.0008765890820706534,0.9474387729219375,COMPLETE,0.0008765890820706534,0.021592854431371065,0.9474387729219375
21,0.0007095257169567049,2025-01-24 22:54:48.590957,2025-01-24 22:56:56.676365,0 days 00:02:08.085408,32,0.3150139720983606,200,97,4,0.006406410688946945,66,31,2,0.02022134584351068,0.0008251565256515776,0.9505227244933653,COMPLETE,0.0008251565256515776,0.02022134584351068,0.9505227244933653
22,0.0007562419050373137,2025-01-24 22:56:56.691148,2025-01-24 22:59:07.340052,0 days 00:02:10.648904,32,0.31957549213436237,200,98,4,0.006080085150379607,66,30,2,0.07577111576138874,0.006555656013354314,0.6069157928026649,COMPLETE,0.006555656013354314,0.07577111576138874,0.6069157928026649
23,0.0006840683636255562,2025-01-24 22:59:07.354772,2025-01-24 23:01:23.903912,0 days 00:02:16.549140,32,0.3504712396515145,190,79,4,0.0070007387739810245,85,39,3,0.04141063103990366,0.002262615754059986,0.8643311183403911,COMPLETE,0.002262615754059986,0.04141063103990366,0.8643311183403911
24,0.0007291652145795524,2025-01-24 23:01:23.918234,2025-01-24 23:03:40.982423,0 days 00:02:17.064189,32,0.36368881657415514,180,57,4,0.003437481880892613,98,39,3,0.04353690467153837,0.002538667779771854,0.8477787410571531,COMPLETE,0.002538667779771854,0.04353690467153837,0.8477787410571531
25,0.0009948157239705324,2025-01-24 23:03:40.998000,2025-01-24 23:05:52.825746,0 days 00:02:11.827746,32,0.15903628888635246,180,80,3,0.00982589309726452,85,53,3,0.03538903562548244,0.0019312927503419143,0.8841976030945415,COMPLETE,0.0019312927503419143,0.03538903562548244,0.8841976030945415
