number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_epochs,params_learning_rate,params_units1,params_units2,user_attrs_mae,user_attrs_mse,user_attrs_r2,state,mse,mae,r2
0,,2025-01-24 19:56:29.976764,,,32,0.3759391900237905,170,0.007820224374481051,99,18,,,,RUNNING,,,
1,0.0006818330730311573,2025-01-24 21:21:06.093250,2025-01-24 21:25:05.276259,0 days 00:03:59.183009,16,0.1760817895419812,130,0.002080918728217991,64,56,0.018830107462520333,0.0007315852919682992,0.9561333566152982,COMPLETE,0.0007315852919682992,0.018830107462520333,0.9561333566152982
2,0.00188750762026757,2025-01-24 21:25:05.308737,2025-01-24 21:27:13.268385,0 days 00:02:07.959648,128,0.39159299666662994,200,0.0002899078085738056,69,29,0.034989277254722895,0.0021096046016305303,0.8735058321177097,COMPLETE,0.0021096046016305303,0.034989277254722895,0.8735058321177097
3,0.0006884843460284173,2025-01-24 21:27:13.310210,2025-01-24 21:31:57.695965,0 days 00:04:44.385755,16,0.26034083074410963,200,0.0008721391376043853,59,55,0.02338213649175156,0.0009877466544569952,0.9407736449581673,COMPLETE,0.0009877466544569952,0.02338213649175156,0.9407736449581673
4,0.001053644809871912,2025-01-24 21:31:57.718331,2025-01-24 21:34:07.694615,0 days 00:02:09.976284,128,0.3800988304897567,200,0.0010363204958230103,118,11,0.028348888743217747,0.0014192344805434229,0.9149011693909661,COMPLETE,0.0014192344805434229,0.028348888743217747,0.9149011693909661
5,0.0011053946800529957,2025-01-24 21:34:07.719110,2025-01-24 21:36:33.248433,0 days 00:02:25.529323,128,0.3661301352495713,200,0.0006190545803856684,124,30,0.02437826542760313,0.0011396838847085127,0.9316633247132499,COMPLETE,0.0011396838847085127,0.02437826542760313,0.9316633247132499
6,0.0007292157970368862,2025-01-24 21:36:33.268941,2025-01-24 21:38:25.022390,0 days 00:01:51.753449,64,0.4734739137673353,180,0.009632246155315174,55,53,0.020351458315281467,0.0008055387306158115,0.9516990286485689,COMPLETE,0.0008055387306158115,0.020351458315281467,0.9516990286485689
7,0.0007840674370527267,2025-01-24 21:38:25.045051,2025-01-24 21:40:24.957196,0 days 00:01:59.912145,32,0.12834789339383712,100,0.0005662991806631353,91,60,0.02544310973240544,0.0011155387311447336,0.9331110941701802,COMPLETE,0.0011155387311447336,0.02544310973240544,0.9331110941701802
8,0.002293420722708106,2025-01-24 21:40:24.978622,2025-01-24 21:42:25.533768,0 days 00:02:00.555146,32,0.2483458415300616,160,0.00016014267948380627,28,9,0.039583660623266514,0.0026528144860022557,0.8409343814032356,COMPLETE,0.0026528144860022557,0.039583660623266514,0.8409343814032356
9,0.0007850727997720242,2025-01-24 21:42:25.555355,2025-01-24 21:45:11.329755,0 days 00:02:45.774400,16,0.3372096131536674,130,0.00037203612407193774,104,62,0.02064246891403388,0.0008491192172987938,0.949085895649803,COMPLETE,0.0008491192172987938,0.02064246891403388,0.949085895649803
