number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_epochs,params_filters,params_kernel_size,params_learning_rate,params_lstm_units1,params_lstm_units2,params_pool_size,user_attrs_mae,user_attrs_mse,user_attrs_r2,state,mse,mae,r2
0,0.0006323660491034389,2025-01-24 19:15:51.978369,2025-01-24 19:16:54.223807,0 days 00:01:02.245438,32,0.12600842993399608,140,73,4,0.0011135166951057234,119,18,2,0.022018812367939636,0.0008357034167158536,0.9485110460785842,COMPLETE,0.0008357034167158536,0.022018812367939636,0.9485110460785842
1,0.0006812571664340794,2025-01-24 19:16:54.238992,2025-01-24 19:17:24.985860,0 days 00:00:30.746868,32,0.3089555574996331,120,17,5,0.001890373264885215,49,17,3,0.019540842697188764,0.0006812571169145435,0.958026716655897,COMPLETE,0.0006812571169145435,0.019540842697188764,0.958026716655897
2,0.0013934440212324262,2025-01-24 19:17:24.999447,2025-01-24 19:17:48.775051,0 days 00:00:23.775604,64,0.17464131911536396,130,60,3,0.0003178387559907272,46,10,3,0.028557411016212578,0.001393444024642103,0.9141478020290732,COMPLETE,0.001393444024642103,0.028557411016212578,0.9141478020290732
3,0.0006852768128737807,2025-01-24 19:17:48.788581,2025-01-24 19:18:34.099791,0 days 00:00:45.311210,128,0.25182311846254213,110,71,3,0.007454060694389602,76,58,1,0.023008856589752578,0.000880850293621171,0.9457294785772704,COMPLETE,0.000880850293621171,0.023008856589752578,0.9457294785772704
4,0.002643418265506625,2025-01-24 19:18:34.113156,2025-01-24 19:19:04.952648,0 days 00:00:30.839492,32,0.4212316798055651,110,113,4,0.00010139027646665764,38,47,3,0.042993951611852314,0.0030801166805107323,0.8102293437322108,COMPLETE,0.0030801166805107323,0.042993951611852314,0.8102293437322108
5,0.0007228147005662322,2025-01-24 19:19:04.965688,2025-01-24 19:20:03.156718,0 days 00:00:58.191030,16,0.40822482095934154,160,46,2,0.0019883803662788815,42,64,3,0.02148381279562623,0.0008329614684234256,0.9486799816680048,COMPLETE,0.0008329614684234256,0.02148381279562623,0.9486799816680048
6,0.0006404451560229063,2025-01-24 19:20:03.169914,2025-01-24 19:21:54.913431,0 days 00:01:51.743517,32,0.14027873858930798,160,37,2,0.0017789314879505691,103,16,1,0.019019122218240713,0.0006550505899373818,0.9596413404960987,COMPLETE,0.0006550505899373818,0.019019122218240713,0.9596413404960987
7,0.0006500391173176467,2025-01-24 19:21:54.927989,2025-01-24 19:23:43.208758,0 days 00:01:48.280769,32,0.10949223423594573,160,34,2,0.007902412673278326,66,44,1,0.030969671456978,0.0014680812123568925,0.9095492917894321,COMPLETE,0.0014680812123568925,0.030969671456978,0.9095492917894321
8,0.0006234769243746996,2025-01-24 19:23:43.222657,2025-01-24 19:26:31.537042,0 days 00:02:48.314385,16,0.19483650683083883,190,87,5,0.0009660379653302672,65,14,1,0.021819823102061816,0.0008181836630693191,0.9495904646500266,COMPLETE,0.0008181836630693191,0.021819823102061816,0.9495904646500266
9,0.0008943034918047488,2025-01-24 19:26:31.551087,2025-01-24 19:27:51.287915,0 days 00:01:19.736828,16,0.4945507231561659,190,71,5,0.0001959120332058527,69,21,3,0.02267718591051254,0.0008943035813463903,0.9449006011335266,COMPLETE,0.0008943035813463903,0.02267718591051254,0.9449006011335266
10,0.0006487598875537515,2025-01-24 19:27:51.301845,2025-01-24 19:29:24.729477,0 days 00:01:33.427632,16,0.24845234069624972,200,110,5,0.00047027487359818995,16,30,2,0.019714651330895745,0.0007053903448958053,0.9565398319086916,COMPLETE,0.0007053903448958053,0.019714651330895745,0.9565398319086916
11,0.0006813612417317927,2025-01-24 19:29:24.742890,2025-01-24 19:30:18.335895,0 days 00:00:53.593005,64,0.2045005292472269,140,94,4,0.0007255454932732589,126,29,2,0.02173408434588658,0.0008297245608047844,0.9488794124515705,COMPLETE,0.0008297245608047844,0.02173408434588658,0.9488794124515705
12,0.0006769697065465152,2025-01-24 19:30:18.349044,2025-01-24 19:31:05.353533,0 days 00:00:47.004489,128,0.10176961330542247,180,91,4,0.0010665064782881082,97,9,2,0.026587589362240933,0.0010857169873281286,0.9331073311248126,COMPLETE,0.0010857169873281286,0.026587589362240933,0.9331073311248126
13,0.0006358061800710857,2025-01-24 19:31:05.368246,2025-01-24 19:32:51.532143,0 days 00:01:46.163897,16,0.18499385951706443,180,89,5,0.004178497535087351,128,25,2,0.02466653119804476,0.0009603947025633613,0.9408286270014496,COMPLETE,0.0009603947025633613,0.02466653119804476,0.9408286270014496
14,0.0006329581956379116,2025-01-24 19:32:51.545759,2025-01-24 19:34:51.113151,0 days 00:01:59.567392,32,0.3256123498669591,150,127,4,0.00086304273060537,98,38,1,0.03843871901116044,0.0020358440117417757,0.8745685653366145,COMPLETE,0.0020358440117417757,0.03843871901116044,0.8745685653366145
