number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_epochs,params_filters,params_kernel_size,params_learning_rate,params_lstm_units1,params_lstm_units2,params_pool_size,user_attrs_mae,user_attrs_mse,user_attrs_r2,state,mse,mae,r2
0,0.0037672873586416245,2025-01-24 19:34:51.158275,2025-01-24 19:36:23.497543,0 days 00:01:32.339268,128,0.19861862247974857,200,42,4,0.0004569927733256467,120,13,2,0.05539951629501962,0.004794620419741279,0.7045961702144434,COMPLETE,0.004794620419741279,0.05539951629501962,0.7045961702144434
1,0.0009518282022327185,2025-01-24 19:36:23.512986,2025-01-24 19:38:18.390463,0 days 00:01:54.877477,16,0.42998945423483104,120,37,5,0.005735348248203994,80,60,1,0.036967281340182394,0.002131570162913386,0.8686707321003704,COMPLETE,0.002131570162913386,0.036967281340182394,0.8686707321003704
2,0.0019275459926575422,2025-01-24 19:38:18.404023,2025-01-24 19:39:57.481186,0 days 00:01:39.077163,64,0.4546083527074042,190,32,3,0.0018946748563580698,94,48,3,0.11390243799747511,0.015118519864805188,0.06852508065832275,COMPLETE,0.015118519864805188,0.11390243799747511,0.06852508065832275
3,0.0007074473542161286,2025-01-24 19:39:57.494707,2025-01-24 19:41:25.250273,0 days 00:01:27.755566,64,0.18975268713465973,200,75,4,0.004090170267535772,71,18,1,0.023196312266752454,0.0008406835507307591,0.9482042124750749,COMPLETE,0.0008406835507307591,0.023196312266752454,0.9482042124750749
4,0.004671156406402588,2025-01-24 19:41:25.263435,2025-01-24 19:42:24.084518,0 days 00:00:58.821083,128,0.38745550330965495,140,32,3,0.0037627877212155114,105,19,3,0.1238274450817447,0.017630352467866463,-0.0862327324251504,COMPLETE,0.017630352467866463,0.1238274450817447,-0.0862327324251504
5,0.00577590661123395,2025-01-24 19:42:24.098036,2025-01-24 19:44:28.921189,0 days 00:02:04.823153,16,0.42669226292466533,130,22,5,0.0001115302653847014,95,19,2,0.07435390113108416,0.007935541431566986,0.5110792669519938,COMPLETE,0.007935541431566986,0.07435390113108416,0.5110792669519938
6,0.01912958174943924,2025-01-24 19:44:28.934779,2025-01-24 19:45:08.346091,0 days 00:00:39.411312,128,0.27377561816928675,110,125,3,0.00047162585122931304,84,10,3,0.12680888587827302,0.019129582364566737,-0.17860255828055438,COMPLETE,0.019129582364566737,0.12680888587827302,-0.17860255828055438
7,0.000771566410548985,2025-01-24 19:45:08.360053,2025-01-24 19:46:16.331906,0 days 00:01:07.971853,64,0.1713265927547991,170,81,2,0.002005993998675276,20,55,1,0.02199040854952775,0.0007835464678166275,0.9517245147384437,COMPLETE,0.0007835464678166275,0.02199040854952775,0.9517245147384437
8,0.0012300049420446157,2025-01-24 19:46:16.345626,2025-01-24 19:48:06.287924,0 days 00:01:49.942298,32,0.3248125856417121,190,122,4,0.0017971639388888996,53,14,3,0.08448463860266739,0.008258320292516939,0.49119237219264156,COMPLETE,0.008258320292516939,0.08448463860266739,0.49119237219264156
9,0.0009541190229356289,2025-01-24 19:48:06.313904,2025-01-24 19:50:26.371790,0 days 00:02:20.057886,16,0.47640969196371086,190,24,4,0.0008627165950110722,46,21,2,0.02554922962379801,0.0010291457577812982,0.9365927703047326,COMPLETE,0.0010291457577812982,0.02554922962379801,0.9365927703047326
10,0.0007016680319793522,2025-01-24 19:50:26.385171,2025-01-24 19:51:37.342035,0 days 00:01:10.956864,64,0.12216576057350827,160,76,2,0.0054138069776246845,63,34,1,0.026312313719942942,0.0011165182791044973,0.9312096168624658,COMPLETE,0.0011165182791044973,0.026312313719942942,0.9312096168624658
11,0.0007832183036953211,2025-01-24 19:51:37.355707,2025-01-24 19:52:46.724690,0 days 00:01:09.368983,64,0.11128388086318389,160,77,2,0.009758946312929687,59,33,1,0.0258222528030018,0.0010471332100682469,0.935484536111308,COMPLETE,0.0010471332100682469,0.0258222528030018,0.935484536111308
12,0.0007049512350931764,2025-01-24 19:52:46.737969,2025-01-24 19:53:53.824857,0 days 00:01:07.086888,64,0.10293706693381076,170,96,2,0.009797717690706911,34,33,1,0.021881306988383125,0.000828806937864698,0.9489359485914668,COMPLETE,0.000828806937864698,0.021881306988383125,0.9489359485914668
13,0.0007693569059483707,2025-01-24 19:53:53.838269,2025-01-24 19:54:58.480015,0 days 00:01:04.641746,64,0.11090023446871672,170,101,2,0.009777838077201508,27,33,1,0.03502600575972665,0.0018828471233291602,0.8839949354818447,COMPLETE,0.0018828471233291602,0.03502600575972665,0.8839949354818447
14,0.0007114731706678867,2025-01-24 19:54:58.493020,2025-01-24 19:56:29.776082,0 days 00:01:31.283062,32,0.25289449443951195,150,56,2,0.006452865257589301,38,40,1,0.02530459311455377,0.0011187908539409218,0.9310696000829539,COMPLETE,0.0011187908539409218,0.02530459311455377,0.9310696000829539
