number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_epochs,params_learning_rate,params_units1,params_units2,user_attrs_mae,user_attrs_mse,user_attrs_r2,state,mse,mae,r2
0,0.0010211523622274399,2025-01-24 18:52:04.228874,2025-01-24 18:53:44.037151,0 days 00:01:39.808277,16,0.24602530064984995,140,0.0002186563978069542,35,46,0.02787528783223736,0.0013120753856066597,0.9191610471853614,COMPLETE,0.0013120753856066597,0.02787528783223736,0.9191610471853614
1,0.0007208179449662566,2025-01-24 18:53:44.053002,2025-01-24 18:55:55.032262,0 days 00:02:10.979260,32,0.10066177526882801,180,0.00024236381027962462,95,30,0.02022066783757299,0.0007226476971462217,0.9554765802849048,COMPLETE,0.0007226476971462217,0.02022066783757299,0.9554765802849048
2,0.0008392096497118473,2025-01-24 18:55:55.048984,2025-01-24 18:57:20.199685,0 days 00:01:25.150701,16,0.22310956904600798,100,0.00031109103789749004,65,44,0.023128830988168335,0.0009334021843157141,0.9424916769549101,COMPLETE,0.0009334021843157141,0.023128830988168335,0.9424916769549101
3,0.0007114711916074157,2025-01-24 18:57:20.213252,2025-01-24 18:58:19.217465,0 days 00:00:59.004213,64,0.2893598445706276,120,0.0024025540341494605,91,11,0.03293255887183664,0.0016099505713869171,0.9008085055920227,COMPLETE,0.0016099505713869171,0.03293255887183664,0.9008085055920227
4,0.0006308196461759508,2025-01-24 18:58:19.231943,2025-01-24 18:59:54.353816,0 days 00:01:35.121873,32,0.18590567295733584,180,0.0012161276992484224,30,44,0.023033096303641584,0.0008895628427011639,0.9451926852255323,COMPLETE,0.0008895628427011639,0.023033096303641584,0.9451926852255323
5,0.0006455945549532771,2025-01-24 18:59:54.366835,2025-01-24 19:01:50.137312,0 days 00:01:55.770477,32,0.3097315805907668,170,0.0008978360264918966,96,45,0.019106579383598873,0.0006455944867305296,0.9602239453443678,COMPLETE,0.0006455944867305296,0.019106579383598873,0.9602239453443678
6,0.000623258703853935,2025-01-24 19:01:50.150980,2025-01-24 19:02:51.325742,0 days 00:01:01.174762,64,0.24731269485703225,140,0.005233525814667909,70,52,0.022200686302122984,0.000818778019821467,0.9495538454298438,COMPLETE,0.000818778019821467,0.022200686302122984,0.9495538454298438
7,0.0006301947869360447,2025-01-24 19:02:51.339216,2025-01-24 19:04:59.706106,0 days 00:02:08.366890,32,0.12474856849779359,200,0.0009841314098130687,80,57,0.03647471355683982,0.0019565416768365456,0.8794545023641813,COMPLETE,0.0019565416768365456,0.03647471355683982,0.8794545023641813
8,0.0006967428489588201,2025-01-24 19:04:59.719040,2025-01-24 19:05:36.676552,0 days 00:00:36.957512,128,0.475352827492281,120,0.006820940173755179,60,43,0.02104175111456069,0.0007733112599088514,0.9523551214079852,COMPLETE,0.0007733112599088514,0.02104175111456069,0.9523551214079852
9,0.0006267045391723514,2025-01-24 19:05:36.690656,2025-01-24 19:07:14.171970,0 days 00:01:37.481314,16,0.1566923624490634,140,0.0016296296359724594,49,21,0.018841365200124777,0.0006295592978947763,0.9612118976281216,COMPLETE,0.0006295592978947763,0.018841365200124777,0.9612118976281216
10,0.0006117103039287031,2025-01-24 19:07:14.185251,2025-01-24 19:08:55.845265,0 days 00:01:41.660014,64,0.3880085507161069,160,0.008623261020718163,125,64,0.02589359875572124,0.0010789666340192507,0.933523230621598,COMPLETE,0.0010789666340192507,0.02589359875572124,0.933523230621598
11,0.0006222121301107109,2025-01-24 19:08:55.858395,2025-01-24 19:10:36.100530,0 days 00:01:40.242135,64,0.3946507624164139,160,0.006722129459728419,125,63,0.03832374581441517,0.00202781786772988,0.8750630682319349,COMPLETE,0.00202781786772988,0.03832374581441517,0.8750630682319349
12,0.0006351093179546297,2025-01-24 19:10:36.114187,2025-01-24 19:12:18.053205,0 days 00:01:41.939018,64,0.4087865169528015,160,0.009648777963245543,127,63,0.021555094582538795,0.0007955862182461163,0.9509827274695518,COMPLETE,0.0007955862182461163,0.021555094582538795,0.9509827274695518
13,0.0006307287258096039,2025-01-24 19:12:18.066519,2025-01-24 19:14:00.287723,0 days 00:01:42.221204,64,0.3789097310104246,160,0.0038474288946163376,127,64,0.0208737575549805,0.0007552418234512945,0.9534684067703991,COMPLETE,0.0007552418234512945,0.0208737575549805,0.9534684067703991
14,0.0006227794801816344,2025-01-24 19:14:00.302373,2025-01-24 19:15:51.932494,0 days 00:01:51.630121,64,0.3871553498006162,200,0.003267933287872569,113,55,0.018802553011001533,0.0006272597667540826,0.9613535752263889,COMPLETE,0.0006272597667540826,0.018802553011001533,0.9613535752263889
